Proband,Group,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Sum_12,edu,gender
2,B,1,1,1,1,1,1,1,1,1,0,1,1,11,4,2
3,A,1,1,1,1,1,1,1,1,0,1,1,1,11,7,2
4,B,1,1,1,0.8,1,0.75,0.5,1,0,0,1,1,9.05,7,2
5,A,1,1,1,1,1,0.75,1,1,0,1,1,1,10.75,7,1
6,B,1,1,0,0.8,1,0.75,1,1,0,0,1,0,7.55,7,2
7,A,1,1,1,1,1,1,1,1,1,1,0,0,10,7,1
8,B,1,1,1,1,1,1,1,1,0,0,0,1,9,7,3
9,A,0,0,1,0.8,1,0.75,1,0,1,0,0,1,6.55,6,2
10,B,1,1,0.75,1,0,1,1,1,1,0,1,1,9.75,7,1
11,A,1,0,1,1,1,1,1,1,0,0,1,1,9,7,2
12,B,1,1,1,1,0,0.75,1,1,0,0,1,1,8.75,7,1
13,A,1,0,1,1,1,1,1,1,0,0,1,1,9,7,2
14,B,0,0,1,1,1,0.75,1,1,1,0,1,0.5,8.25,3,2
15,A,1,1,1,1,1,1,1,1,1,0,1,0.5,10.5,7,1
16,B,1,1,1,1,0,1,1,1,1,1,1,1,11,7,2
17,A,1,0,1,1,1,1,1,1,0,0,0,0.5,7.5,7,1
18,B,1,1,1,1,0,0.5,1,1,0,0,1,1,8.5,7,1
19,A,1,1,1,1,1,1,1,1,1,1,0,0.5,10.5,7,2
20,B,1,1,1,1,0,1,0.5,1,1,1,1,1,10.5,7,1
